Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,7122,Dromana Secondary College,Secondary,O,110 Harrisons Road,,Dromana,VIC,3936,110 Harrisons Road,,DROMANA,VIC,3936,03 5987 2805,534,Mornington Peninsula (S),-38.34264,145.01358
Government,1,7183,Grovedale College,Secondary,O,19 Wingarra Drive,,Grovedale,VIC,3216,19 Wingarra Drive,,GROVEDALE,VIC,3216,03 5245 4545,275,Greater Geelong (C),-38.2104,144.32744
Government,1,7198,Irymple Secondary College,Secondary,O,975 - 1011  Karadoc Ave,,Irymple,VIC,3498,975 - 1011  Karadoc Ave,,IRYMPLE,VIC,3498,03 5024 5407,478,Mildura (RC),-34.23233,142.1647
Government,1,7205,Crusoe 7-10 Secondary College,Secondary,O,57 - 75 Olympic Parade,,Kangaroo Flat,VIC,3555,"P O Box 1167,",,KANGAROO FLAT,VIC,3555,03 5447 7722,262,Greater Bendigo (C),-36.78865,144.23367
Government,1,7217,Peter Lalor Secondary College,Secondary,O,35 Duncan Road,,Lalor,VIC,3075,P O Box 1250,,EPPING,VIC,3076,03 9464 0122,707,Whittlesea (C),-37.66691,145.01316
Government,1,7219,Lilydale Heights College,Secondary,O,17-19 Nelson Road,,Lilydale,VIC,3140,P O Box 160,,Lilydale,VIC,3140,03 9735 1133,745,Yarra Ranges (S),-37.74582,145.34141
Government,1,7247,Staughton College,Secondary,O,Wilson Road,,Melton South,VIC,3338,P O Box 2344,,MELTON SOUTH,VIC,3338,03 9743 4622,465,Melton (C),-37.70836,144.56869
Government,1,7250,Chaffey Secondary College,Secondary,O,261-289 Deakin Avenue,,Mildura,VIC,3500,P O Box 1610,,MILDURA,VIC,3502,03 5023 0538,478,Mildura (RC),-34.19573,142.14798
Government,1,7255,Bentleigh Secondary College,Secondary,O,Vivien St,,Bentleigh East,VIC,3165,P O Box 186,,BENTLEIGH EAST,VIC,3165,03 9579 1044,231,Glen Eira (C),-37.92736,145.0598
Government,1,7267,Mount Clear College,Secondary,O,59 Olympic Avenue,,Mount Clear,VIC,3353,59 Olympic Avenue,,BALLARAT,VIC,3350,03 5330 1500,57,Ballarat (C),-37.60796,143.87667
Government,1,7275,Rosehill Secondary College,Secondary,O,Sapphire Street,,Niddrie,VIC,3042,Sapphire Street,,NIDDRIE,VIC,3042,03 9337 2488,506,Moonee Valley (C),-37.74668,144.88618
Government,1,7300,Northern College of the Arts and Technology,Secondary,O,62 Murray Road,,Preston,VIC,3072,P O Box 8041,,NORTHLAND,VIC,3072,03 9478 1333,189,Darebin (C),-37.74007,145.02537
Government,1,7366,Swinburne Senior Secondary College,Secondary,O,505 Burwood Road,,Hawthorn,VIC,3122,505 Burwood Rd,,HAWTHORN,VIC,3122,03 8862 4400,111,Boroondara (C),-37.82314,145.04082
Government,1,7384,Victorian College Of The Arts Secondary School,Secondary,O,57 Miles Street,,Southbank,VIC,3006,57 Miles Street,,SOUTHBANK,VIC,3006,03 8644 8644,460,Melbourne (C),-37.82823,144.96477
Government,1,7395,Brauer Secondary College,Secondary,O,Caramut Road,,Warrnambool,VIC,3280,P O Box 676,,Warrnambool,VIC,3280,03 5560 3888,673,Warrnambool (C),-38.35871,142.45892
Government,1,7402,Wyndham Central Secondary College,Secondary,O,101 Shaws Road,,Werribee,VIC,3030,P O Box 304,,WERRIBEE,VIC,3030,03 9741 4911,726,Wyndham (C),-37.88893,144.65385
Government,1,7405,Weeroona College Bendigo,Secondary,O,383 Napier Street,,Bendigo,VIC,3550,P O Box 566,,BENDIGO,VIC,3552,03 5443 2133,262,Greater Bendigo (C),-36.73893,144.29798
Government,1,7408,Whittlesea Secondary College,Secondary,O,55 Laurel Street,,Whittlesea,VIC,3757,PO Box 54,,WHITTLESEA,VIC,3757,03 9719 1200,707,Whittlesea (C),-37.51505,145.12018
Government,1,7505,Alexandra Secondary College,Secondary,O,Downey Street,,Alexandra,VIC,3714,Private Bag 1,,ALEXANDRA,VIC,3714,03 5770 2000,562,Murrindindi (S),-37.19449,145.70148
Government,1,7526,Auburn High School,Secondary,O,26 Burgess Street,,Hawthorn East,VIC,3123,26 Burgess Street,,Hawthorn East,VIC,3123,03 9822 3247,111,Boroondara (C),-37.83988,145.04507
Government,1,7540,Ballarat High School,Secondary,O,Sturt Street West,,Ballarat,VIC,3350,1726 Sturt Street,,LAKE GARDENS,VIC,3355,03 5338 9000,57,Ballarat (C),-37.55452,143.81821
Government,1,7550,Balwyn High School,Secondary,O,Buchanan Avenue,,Balwyn North,VIC,3104,Buchanan Avenue,,BALWYN NORTH,VIC,3104,03 9819 7911,111,Boroondara (C),-37.79786,145.07677
Government,1,7560,Bayswater Secondary College,Secondary,O,14 Orchard Road,,Bayswater,VIC,3153,P O Box 535,,BAYSWATER,VIC,3153,03 8720 7555,367,Knox (C),-37.83903,145.262
Government,1,7565,Beaufort Secondary College,Secondary,O,1/37 Park Road,,Beaufort,VIC,3373,P O Box 38,,Beaufort,VIC,3373,03 5349 2305,599,Pyrenees (S),-37.43884,143.38249
Government,1,7566,Beaumaris Secondary College,Secondary,O,117 - 136 Reserve Road,,Beaumaris,VIC,3193,P O BOX 7079,,Beaumaris,VIC,3193,03 8569 9200,91,Bayside (C),-37.9784,145.03408
Government,1,7575,Beechworth Secondary College,Secondary,O,85 Balaclava Road,,Beechworth,VIC,3747,P O Box 21,,Beechworth,VIC,3747,03 5728 1264,335,Indigo (S),-36.34722,146.69076
Government,1,7585,Belmont High School,Secondary,O,Rotherham Street,,Belmont,VIC,3216,Rotherham Street,,BELMONT,VIC,3216,03 5243 5355,275,Greater Geelong (C),-38.17565,144.33056
Government,1,7595,Bendigo Senior Secondary College,Secondary,O,40 Gaol Road,,Bendigo,VIC,3550,P O Box 545,,BENDIGO,VIC,3552,03 5443 1222,262,Greater Bendigo (C),-36.7553,144.27928
Government,1,7603,Berwick Secondary College,Secondary,O,Manuka Road,,Berwick,VIC,3806,MANUKA ROAD,,BERWICK,VIC,3806,03 8768 1000,161,Casey (C),-38.0314,145.36544
Government,1,7610,Blackburn High School,Secondary,O,60 Springfield Road,,Blackburn,VIC,3130,P O Box 114,,BLACKBURN,VIC,3130,03 8804 6464,698,Whitehorse (C),-37.81037,145.14989
Government,1,7635,Box Hill High School,Secondary,O,1180 Whitehorse Road,,Box Hill,VIC,3128,1180 Whitehorse Road,,BOX HILL,VIC,3128,03 9877 1177,698,Whitehorse (C),-37.82,145.13721
Government,1,7645,Braybrook College,Secondary,O,352 Ballarat Road,,Braybrook,VIC,3019,352 Ballarat Road,,BRAYBROOK,VIC,3019,03 9312 2900,433,Maribyrnong (C),-37.77826,144.84754
Government,1,7647,Brentwood Secondary College,Secondary,O,65-71 Watsons Road,,Glen Waverley,VIC,3150,65-71 Watsons Road,,GLEN WAVERLEY,VIC,3150,03 8545 0300,497,Monash (C),-37.89951,145.16634
Government,1,7650,Brighton Secondary College,Secondary,O,120 Marriage Road,,Brighton East,VIC,3187,120 Marriage Road,,BRIGHTON EAST,VIC,3187,03 9592 7488,91,Bayside (C),-37.92016,145.01912
Government,1,7655,Broadford Secondary College,Secondary,O,2-12 Pinniger Street,,Broadford,VIC,3658,P O Box 108,,BROADFORD,VIC,3658,03 5784 1200,485,Mitchell (S),-37.20438,145.04003
Government,1,7670,Buckley Park College,Secondary,O,59-99 Cooper Street,,Essendon,VIC,3040,59-99 Cooper Street,,ESSENDON,VIC,3040,03 9331 9999,506,Moonee Valley (C),-37.74712,144.89775
Government,1,7680,Camberwell High School,Secondary,O,Prospect Hill Road,,Canterbury,VIC,3126,Prospect Hill Road,,CANTERBURY,VIC,3126,03 9836 0555,111,Boroondara (C),-37.83015,145.07282
Government,1,7690,Canterbury Girls Secondary College,Secondary,O,16 Mangarra Road,,Canterbury,VIC,3126,16 Mangarra Road,,CANTERBURY,VIC,3126,03 9830 5099,111,Boroondara (C),-37.82029,145.0691
Government,1,7695,Casterton Secondary College,Secondary,O,27 Mt Gambier Road,,Casterton,VIC,3311,27 Mt.Gambier Road,,CASTERTON,VIC,3311,03 5581 1588,241,Glenelg (S),-37.5888,141.38749
Government,1,7720,Cheltenham Secondary College,Secondary,O,73-75 Bernard Street,,Cheltenham,VIC,3192,P O Box 109,,MOORABBIN,VIC,3189,03 9555 5955,343,Kingston (C),-37.95376,145.06868
Government,1,7725,Cobram Secondary College,Secondary,O,25-47 Warkil Street,,Cobram,VIC,3644,P O Box 387,,COBRAM,VIC,3644,03 5871 1700,490,Moira (S),-35.9136,145.65412
Government,1,7735,Cohuna Secondary College,Secondary,O,6415 Murray Valley Highway,,Cohuna,VIC,3568,P O Box 273,,COHUNA,VIC,3568,03 5456 2555,225,Gannawarra (S),-35.8135,144.22642
Government,1,7747,Cranbourne Secondary College,Secondary,O,Stawell Street,,Cranbourne,VIC,3977,Stawell Street,,CRANBOURNE,VIC,3977,03 5996 3544,161,Casey (C),-38.10759,145.28614
Government,1,7757,Croydon Community School,Secondary,O,177-181 Mt Dandenong Road,,Croydon,VIC,3136,P O Box 239,,Croydon,VIC,3136,03 9724 2900,441,Maroondah (C),-37.79842,145.27893
Government,1,7763,Mount Alexander 7-12 College,Secondary,O,167-175 Mt Alexander Road,,Flemington,VIC,3031,167-175 Mt Alexander Road,,FLEMINGTON,VIC,3031,03 9376 1622,506,Moonee Valley (C),-37.78215,144.93324
Government,1,7770,Dimboola Memorial Secondary College,Secondary,O,66 Ellerman Street,,Dimboola,VIC,3414,P O Box 40,,DIMBOOLA,VIC,3414,03 5389 1460,298,Hindmarsh (S),-36.44984,142.03441
Government,1,7773,East Doncaster Secondary College,Secondary,O,20 George Street,,Doncaster East,VIC,3109,20 George Street,,DONCASTER EAST,VIC,3109,03 9842 2244,421,Manningham (C),-37.78213,145.15856
Government,1,7775,Donald High School,Secondary,O,2-16 Camp Street,,Donald,VIC,3480,P O Box 138,,DONALD,VIC,3480,03 5497 1205,127,Buloke (S),-36.37078,142.97396
Government,1,7776,Doncaster Secondary College,Secondary,O,123 Church Road,,Doncaster,VIC,3108,123 CHURCH ROAD,,DONCASTER,VIC,3108,03 9848 4677,421,Manningham (C),-37.78458,145.13805
Government,1,7785,Drouin Secondary College,Secondary,O,South Road,,Drouin,VIC,3818,P O BOX 338,,DROUIN,VIC,3818,03 5625 1002,83,Baw Baw (S),-38.14466,145.85098
Government,1,7790,Eaglehawk Secondary College,Secondary,O,1-3 Reserve Street,,Eaglehawk,VIC,3556,P O Box 146,,EAGLEHAWK,VIC,3556,03 5446 8099,262,Greater Bendigo (C),-36.72006,144.26163
Government,1,7805,Eltham High School,Secondary,O,30-60 Withers Way,,Eltham,VIC,3095,30-60 Withers Way,,ELTHAM,VIC,3095,03 9430 5111,571,Nillumbik (S),-37.72444,145.14172
Government,1,7810,Elwood College,Secondary,O,101 Glenhuntly Road,,Elwood,VIC,3184,101 Glenhuntly Road,,ELWOOD,VIC,3184,03 9531 9566,590,Port Phillip (C),-37.88232,144.9852
Government,1,7813,Epping Secondary College,Secondary,O,Mcdonalds Road,,Epping,VIC,3076,McDonalds Road,,EPPING,VIC,3076,03 9401 2599,707,Whittlesea (C),-37.644,145.03343
Government,1,7820,Euroa Secondary College,Secondary,O,26 Campbell St,,Euroa,VIC,3666,P O Box 63,,EUROA,VIC,3666,03 5795 2512,643,Strathbogie (S),-36.7582,145.5648
Government,1,7823,Fairhills High School,Secondary,O,Scoresby Road,,Knoxfield,VIC,3180,P O Box 226,,FERNTREE GULLY,VIC,3156,03 9758 5022,367,Knox (C),-37.87321,145.25904
Government,1,7837,Bendigo South East 7-10 Secondary College,Secondary,O,Ellis Street,,Bendigo,VIC,3550,P O Box 15,,Strathdale,VIC,3550,03 5443 4522,262,Greater Bendigo (C),-36.77579,144.29759
Government,1,7842,Footscray High School,Secondary,O,1 Kinnear Street,,Footscray,VIC,3011,1 Kinnear Street,,Footscray,VIC,3011,03 8387 1500,433,Maribyrnong (C),-37.79107,144.89401
