school_name,address,town,lga_name,x,y
Heywood District Secondary College,Gorrie Street Heywood VIC 3304,Heywood,Glenelg (S),-38.12927,141.6205
Highvale Secondary College,Capital Avenue Glen Waverley VIC 3150,Glen Waverley,Monash (C),-37.86541,145.17682
Kerang Technical High School,Murray St Kerang VIC 3579,Kerang,Gannawarra (S),-35.72565,143.9138
Kensington Community High School,405 Racecourse Rd Kensington VIC 3031,Kensington,Melbourne (C),-37.78791,144.92558
Kew High School,1393 Burke Road Kew East VIC 3102,Kew East,Boroondara (C),-37.79555,145.06336000000002
Koonung Secondary College,615 Elgar Road Mont Albert North VIC 3129,Mont Albert North,Whitehorse (C),-37.80219,145.11756
Koo Wee Rup Secondary College,Rossiter Road Koo Wee Rup VIC 3981,Koo Wee Rup,Cardinia (S),-38.19709,145.49578
Korumburra Secondary College,125 Jumbunna Road Korumburra VIC 3950,Korumburra,South Gippsland (S),-38.443870000000004,145.8039
Kyabram P-12 College,57 Fischer Street Kyabram VIC 3620,Kyabram,Campaspe (S),-36.317479999999996,145.05621000000002
Kyneton High School,1-9 Epping Street Kyneton VIC 3444,Kyneton,Macedon Ranges (S),-37.251329999999996,144.45817
Lalor Secondary College,118 David Street Lalor VIC 3075,Lalor,Whittlesea (C),-37.67266,145.03062
Lalor North Secondary College,114 Childs Road Epping VIC 3076,Epping,Whittlesea (C),-37.66077,145.03412
Lilydale High School,25 Melba Avenue Lilydale VIC 3140,Lilydale,Yarra Ranges (S),-37.7607,145.34392
Lorne P-12 College,15 Grove Road Lorne VIC 3232,Lorne,Surf Coast (S),-38.53918,143.97388999999998
Lyndale Secondary College,14 Halton Road Dandenong North VIC 3175,Dandenong North,Greater Dandenong (C),-37.95876,145.20671000000002
Lynall Hall Community School,Cnr Gleadell & Highett Street Richmond VIC 3121,Richmond,Yarra (C),-37.81648,145.00226
Maffra Secondary College,Bill Cane Court Maffra VIC 3860,Maffra,Wellington (S),-37.964890000000004,146.98242
Mansfield Secondary College,15 View Street Mansfield VIC 3722,Mansfield,Mansfield (S),-37.06268,146.08856
Maribyrnong Secondary College,River Street Maribyrnong VIC 3032,Maribyrnong,Maribyrnong (C),-37.77952,144.88824
Matthew Flinders Girls Secondary College,2 Little Ryrie Street Geelong VIC 3220,Geelong,Greater Geelong (C),-38.14959,144.35321000000002
Melbourne High School,Forrest Hill South Yarra VIC 3141,South Yarra,Stonnington (C),-37.83683,144.99531000000002
Melton Secondary College,Coburns Road Melton VIC 3337,Melton,Melton (C),-37.68175,144.56822
Mentone Girls Secondary College,Cnr Balcombe & Charman Rds Mentone VIC 3194,Mentone,Kingston (C),-37.98018,145.0535
Mildura Senior College,307-339 Deakin Avenue Mildura VIC 3500,Mildura,Mildura (RC),-34.198,142.14539
Mirboo North Secondary College,Castle Street Mirboo North VIC 3871,Mirboo North,South Gippsland (S),-38.40018,146.14882
Monbulk College,146-148 David Hill Road Monbulk VIC 3793,Monbulk,Yarra Ranges (S),-37.883179999999996,145.42781000000002
Montmorency Secondary College,Para Road Montmorency VIC 3094,Montmorency,Banyule (C),-37.714079999999996,145.11361000000002
Mooroolbark College,186 Manchester Road Mooroolbark VIC 3138,Mooroolbark,Yarra Ranges (S),-37.775079999999996,145.31423
