school_name,address,town,lga_name,x,y
Portarlington Primary School,100 Newcombe Street Portarlington VIC 3223,Portarlington,Greater Geelong (C),-38.115520000000004,144.65498
Menzies Creek Primary School,12 School Road Menzies Creek VIC 3159,Menzies Creek,Yarra Ranges (S),-37.91735,145.39427
St Kilda Park Primary School,68 Fitzroy Street St Kilda VIC 3182,St Kilda,Port Phillip (C),-37.85812,144.97779
Labertouche Primary School,35 School Road Labertouche VIC 3816,Labertouche,Baw Baw (S),-38.03767,145.80494
Diggers Rest Primary School,Plumpton Road Diggers Rest VIC 3427,Diggers Rest,Melton (C),-37.62263,144.70923
Longwarry Primary School,5 McCrae Street Longwarry VIC 3816,Longwarry,Baw Baw (S),-38.1141,145.76914
Gembrook Primary School,50 Main Street Gembrook VIC 3783,Gembrook,Cardinia (S),-37.951640000000005,145.54532
Wurruk Primary School,13 -19 Fisk Street Wurruk VIC 3850,Wurruk,Wellington (S),-38.1068,147.03995
Willow Grove Primary School,39-45 Moe-Willow Grove Road Willow Grove VIC 3825,Willow Grove,Baw Baw (S),-38.07139,146.17734
Hoddles Creek Primary School,700 Gembrook-Launching Place Road Hoddles Creek VIC 3139,Hoddles Creek,Yarra Ranges (S),-37.83174,145.59775
Beaconsfield Upper Primary School,40 Stoney Creek Road BEACONSFIELD UPPER VIC 3808,BEACONSFIELD UPPER,Cardinia (S),-37.9954,145.41476
Congupna Primary School,3580 Katamatite Road Congupna VIC 3633,Congupna,Greater Shepparton (C),-36.29987,145.43428
Redesdale Mia Mia Primary School,31 School Road Redesdale VIC 3444,Redesdale,Greater Bendigo (C),-37.01952,144.53089
Malvern Primary School,17 Tooronga Road Malvern East VIC 3145,Malvern East,Stonnington (C),-37.871590000000005,145.03846000000001
Launching Place Primary School,Carter Street Launching Place VIC 3139,Launching Place,Yarra Ranges (S),-37.7825,145.57076999999998
Carlton Gardens Primary School,215 Rathdowne Street Carlton VIC 3053,Carlton,Melbourne (C),-37.80205,144.96951
Ascot Vale Primary School,Bank Street Ascot Vale VIC 3032,Ascot Vale,Moonee Valley (C),-37.77432,144.92612
Boolarra Primary School,Tarwin Street Boolarra VIC 3870,Boolarra,Latrobe (C),-38.382870000000004,146.26887
Rosebud Primary School,Point Nepean Road Rosebud VIC 3939,Rosebud,Mornington Peninsula (S),-38.35576,144.909
Koo Wee Rup Primary School,Moody Street Koo Wee Rup VIC 3981,Koo Wee Rup,Cardinia (S),-38.194829999999996,145.49286
Armadale Primary School,9-23 Densham Road Armadale VIC 3143,Armadale,Stonnington (C),-37.85219,145.01776999999998
Osborne Primary School,120 Craigie Rd Mount Martha VIC 3934,Mount Martha,Mornington Peninsula (S),-38.25711,145.04091
Somerville Primary School,37 Eramosa Road East Somerville VIC 3912,Somerville,Mornington Peninsula (S),-38.22402,145.17914
Willaura Primary School,14 Warranooke Street Willaura VIC 3379,Willaura,Ararat (RC),-37.54469,142.73946
Echuca East Primary School,21-31 Eyre Street Echuca VIC 3564,Echuca,Campaspe (S),-36.13405,144.76111
Lakes Entrance Primary School,49 Myer Street Lakes Entrance VIC 3909,Lakes Entrance,East Gippsland (S),-37.87598,147.99424
Myrrhee Primary School,1673 Benalla-whitfield Road Myrrhee VIC 3732,Myrrhee,Wangaratta (RC),-36.73819,146.31825
Longwood Primary School,1-21 Hurley Street Longwood VIC 3665,Longwood,Strathbogie (S),-36.80793,145.42206000000002
Forrest Primary School,10 Grant Street Forrest VIC 3236,Forrest,Colac-Otway (S),-38.516290000000005,143.71442
Fairfield Primary School,Langridge Street Fairfield VIC 3078,Fairfield,Darebin (C),-37.77799,145.0204
Nilma Primary School,76 Bloomfield Road Nilma VIC 3821,Nilma,Baw Baw (S),-38.16574,145.97429
Garfield Primary School,84 Railway Avenue Garfield VIC 3814,Garfield,Cardinia (S),-38.090559999999996,145.67415
Yinnar South Primary School,Brewsters Road Yinnar South VIC 3869,Yinnar South,Latrobe (C),-38.36891,146.36481
Officer Primary School,13-23 Tivendale Rd Officer VIC 3809,Officer,Cardinia (S),-38.058279999999996,145.41018
Brunswick South Primary School,56 Brunswick Road Brunswick East VIC 3057,Brunswick East,Moreland (C),-37.7787,144.97253999999998
Orbost Primary School,10 Ruskin Street Orbost VIC 3888,Orbost,East Gippsland (S),-37.70791,148.45772
Inverloch Primary School,Bayview Avenue Inverloch VIC 3996,Inverloch,Bass Coast (S),-38.6312,145.72862
Surrey Hills Primary School,2 Beatrice Avenue Surrey Hills VIC 3127,Surrey Hills,Whitehorse (C),-37.82553,145.1009
Montague Continuing Education Centre,100 Montague Street South Melbourne VIC 3205,South Melbourne,Port Phillip (C),-37.8306,144.94974
Strathmerton Primary School,Findlay Street Strathmerton VIC 3641,Strathmerton,Moira (S),-35.92402,145.47884
Laharum Primary School,1574 Northern Grampians Road Laharum VIC 3401,Laharum,Horsham (RC),-36.94535,142.32331000000002
Walwa Primary School,Murray River Road Walwa VIC 3709,Walwa,Towong (S),-35.96423,147.73215
Middle Park Primary School,194 Richardson Street Middle Park VIC 3206,Middle Park,Port Phillip (C),-37.8478,144.95751
Seville Primary School,639 Warburton Highway Seville VIC 3139,Seville,Yarra Ranges (S),-37.77389,145.46441000000002
Yarraville West Primary School,30 Powell Street Yarraville VIC 3013,Yarraville,Maribyrnong (C),-37.81475,144.88539
Moreland Primary School,157-163 Moreland Road Coburg VIC 3058,Coburg,Moreland (C),-37.75505,144.96648000000002
Tanjil South Primary School,253 Moe-Willow Grove Road Tanjil South VIC 3825,Tanjil South,Baw Baw (S),-38.11887,146.2524
Pomonal Primary School,2859 Ararat - Halls Gap Road Pomonal VIC 3381,Pomonal,Ararat (RC),-37.19344,142.60873
Elsternwick Primary School,Murphy Street Brighton VIC 3186,Brighton,Bayside (C),-37.891420000000004,144.99729
Glengarry Primary School,Cairnbrook Road Glengarry VIC 3854,Glengarry,Latrobe (C),-38.12758,146.57134
Carnegie Primary School,51 Truganini Road Carnegie VIC 3163,Carnegie,Glen Eira (C),-37.89074,145.0545
Lang Lang Primary School,52 Westernport Road Lang Lang VIC 3984,Lang Lang,Cardinia (S),-38.26317,145.5694
Croydon Primary School,Cnr Kent Avenue & Croydon Road Croydon VIC 3136,Croydon,Maroondah (C),-37.79317,145.28132
Moonee Ponds West Primary School,150 Athol Street Moonee Ponds VIC 3039,Moonee Ponds,Moonee Valley (C),-37.76895,144.90933
Mitcham Primary School,294 Mitcham Road Mitcham VIC 3132,Mitcham,Whitehorse (C),-37.80899,145.19272
Loch Primary School,2 Victoria Road Loch VIC 3945,Loch,South Gippsland (S),-38.36862,145.70295
Mildura Primary School,175-189 San Mateo Avenue Mildura VIC 3500,Mildura,Mildura (RC),-34.19429,142.16048999999998
Blackburn Primary School,185 Surrey Road Blackburn VIC 3130,Blackburn,Whitehorse (C),-37.81657,145.1567
Newmerella Primary School,2-4 McLaughlins Road Newmerella VIC 3886,Newmerella,East Gippsland (S),-37.73547,148.434
Port Melbourne Primary School,415 Graham Street Port Melbourne VIC 3207,Port Melbourne,Port Phillip (C),-37.83532,144.93381000000002
Auburn Primary School,51 Rathmines Road Hawthorn East VIC 3123,Hawthorn East,Boroondara (C),-37.82028,145.05048
Mentone Primary School,6 Childers Street Mentone VIC 3194,Mentone,Kingston (C),-37.98295,145.06797
Princes Hill Primary School,280 Pigdon Street Carlton North VIC 3054,Carlton North,Yarra (C),-37.7804,144.9681
Gruyere Primary School,99 Killara Road Gruyere VIC 3770,Gruyere,Yarra Ranges (S),-37.73409,145.45039
Research Primary School,1570 Main Road Research VIC 3095,Research,Nillumbik (S),-37.70292,145.18357
Pearcedale Primary School,Baxter-tooradin Road Pearcedale VIC 3912,Pearcedale,Casey (C),-38.20301,145.23198
Lindenow South Primary School,607 Lindenow-Glenaladale Road Lindenow South VIC 3875,Lindenow South,East Gippsland (S),-37.82694,147.4339
Thorpdale Primary School,19 Robinson Street Thorpdale VIC 3835,Thorpdale,Baw Baw (S),-38.28846,146.17879
St Albans Primary School,39 West Esplanade St Albans VIC 3021,St Albans,Brimbank (C),-37.73875,144.79577
Leongatha Primary School,Nerrena Road Leongatha VIC 3953,Leongatha,South Gippsland (S),-38.47893,145.95898
Jeparit Primary School,Sands Avenue Jeparit VIC 3423,Jeparit,Hindmarsh (S),-36.14134,141.98405
Toorak Primary School,Canterbury Road Toorak VIC 3142,Toorak,Stonnington (C),-37.845079999999996,145.00991000000002
Baxter Primary School,Grant Road Baxter VIC 3911,Baxter,Mornington Peninsula (S),-38.199659999999994,145.18155
Fish Creek and District Primary School,10 Foster Road Fish Creek VIC 3959,Fish Creek,South Gippsland (S),-38.69475,146.08442
Beaconsfield Primary School,71-77 Old Princes Highway Beaconsfield VIC 3807,Beaconsfield,Cardinia (S),-38.048629999999996,145.37163999999999
Metung Primary School,90 Stirling Road Metung VIC 3904,Metung,East Gippsland (S),-37.88296,147.85246
Newhaven Primary School,12-22 School Avenue Newhaven VIC 3925,Newhaven,Bass Coast (S),-38.51315,145.35686
Halls Gap Primary School,10-14 School Road Halls Gap VIC 3381,Halls Gap,Northern Grampians (S),-37.13748,142.51743000000002
Tallygaroopna Primary School,24-34 Victoria Street Tallygaroopna VIC 3634,Tallygaroopna,Greater Shepparton (C),-36.238609999999994,145.43632
Ormond Primary School,121 Wheatley Road Ormond VIC 3204,Ormond,Glen Eira (C),-37.907,145.03367
Korumburra Primary School,6 - 16 Mine Road Korumburra VIC 3950,Korumburra,South Gippsland (S),-38.43513,145.82564
Crib Point Primary School,70 Milne Street Crib Point VIC 3919,Crib Point,Mornington Peninsula (S),-38.360479999999995,145.20054
Pascoe Vale Primary School,362 Gaffney Street Pascoe Vale VIC 3044,Pascoe Vale,Moreland (C),-37.73122,144.93726
Flowerdale Primary School,3377 Whittlesea Yea Road Flowerdale VIC 3717,Flowerdale,Murrindindi (S),-37.31692,145.29136
Ocean Grove Primary School,1 - 23 Draper Street Ocean Grove VIC 3226,Ocean Grove,Greater Geelong (C),-38.26399,144.52185
Beulah Primary School,Henty Highway Beulah VIC 3395,Beulah,Yarriambiack (S),-35.94494,142.41826
Merri Creek Primary School,Miller Street Fitzroy North VIC 3068,Fitzroy North,Yarra (C),-37.77697,144.98739
Sunshine Primary School,Cnr Hampshire & Derby Roads Sunshine VIC 3020,Sunshine,Brimbank (C),-37.79088,144.8311
Tyabb Primary School,186 Mornington-Tyabb Road Tyabb VIC 3913,Tyabb,Mornington Peninsula (S),-38.260709999999996,145.16664
Wales Street Primary School,Wales Street Thornbury VIC 3071,Thornbury,Darebin (C),-37.761509999999994,145.00883000000002
Upper Sandy Creek Primary School,1037 Sandy Creek Road Sandy Creek VIC 3695,Sandy Creek,Indigo (S),-36.35518,147.1129
Spensley Street Primary School,193 Spensley Street Clifton Hill VIC 3068,Clifton Hill,Yarra (C),-37.78679,145.00388
Kew East Primary School,35 Kitchener Street Kew East VIC 3102,Kew East,Boroondara (C),-37.79647,145.04915
Nichols Point Primary School,110 Koorlong Avenue Nichols Point VIC 3501,Nichols Point,Mildura (RC),-34.2088,142.20463999999998
Irymple Primary School,2032 15th Street Irymple VIC 3498,Irymple,Mildura (RC),-34.2266,142.15908000000002
Brunswick East Primary School,195a Stewart Street Brunswick East VIC 3057,Brunswick East,Moreland (C),-37.76527,144.98
Eagle Point Primary School,43 School Road Eagle Point VIC 3878,Eagle Point,East Gippsland (S),-37.89245,147.68022
Yarra Junction Primary School,2370 Warburton Highway Yarra Junction VIC 3797,Yarra Junction,Yarra Ranges (S),-37.77903,145.60608
Sassafras Primary School,399 Mt Dandenong Tourist Road Sassafras VIC 3787,Sassafras,Yarra Ranges (S),-37.86162,145.35455
Ferny Creek Primary School,School Road Ferny Creek VIC 3786,Ferny Creek,Yarra Ranges (S),-37.884209999999996,145.33473
Toolangi Primary School,Main Road Toolangi VIC 3777,Toolangi,Murrindindi (S),-37.53537,145.4725
Wonga Park Primary School,Dudley Road Wonga Park VIC 3115,Wonga Park,Manningham (C),-37.73064,145.274
Kinglake West Primary School,1041-1061 Whittlesea-Kinglake Rd Kinglake West VIC 3757,Kinglake West,Murrindindi (S),-37.4813,145.2596
Perseverance Primary School,Centreway French Island VIC 3921,French Island,Unincorporated Vic,-38.383379999999995,145.33341000000001
Monbulk Primary School,1 Main Road Monbulk VIC 3793,Monbulk,Yarra Ranges (S),-37.87685,145.41026000000002
Lake Boga Primary School,8 Williams Street Lake Boga VIC 3584,Lake Boga,Swan Hill (RC),-35.46451,143.63207
Chum Creek Primary School,705 Chum Creek Road Chum Creek VIC 3777,Chum Creek,Yarra Ranges (S),-37.605959999999996,145.48925
Mount Dandenong Primary School,Farndons Road Mount Dandenong VIC 3767,Mount Dandenong,Yarra Ranges (S),-37.830740000000006,145.36217
Nullawil Primary School,Church Street Nullawil VIC 3529,Nullawil,Buloke (S),-35.85273,143.17911999999998
Badger Creek Primary School,Badger Creek Rd Healesville VIC 3777,Healesville,Yarra Ranges (S),-37.681340000000006,145.53323999999998
Middle Kinglake Primary School,69 Extons Road Kinglake Central VIC 3757,Kinglake Central,Murrindindi (S),-37.50521,145.31568000000001
Point Lonsdale Primary School,22 Bowen Road Point Lonsdale VIC 3225,Point Lonsdale,Queenscliffe (B),-38.274429999999995,144.62113
Kongwak Primary School,1445 Wonthaggi Korumburra Road Kongwak VIC 3951,Kongwak,South Gippsland (S),-38.51511,145.71286
Clarinda Primary School,1166 Centre Road Clarinda VIC 3169,Clarinda,Kingston (C),-37.927,145.10291999999998
Chelsea Heights Primary School,194 Thames Promenade Chelsea Heights VIC 3196,Chelsea Heights,Kingston (C),-38.04502,145.13806
Wallington Primary School,608 - 610 Wallington Road Wallington VIC 3222,Wallington,Greater Geelong (C),-38.21788,144.50685
Tecoma Primary School,1536 Burwood Highway Tecoma VIC 3160,Tecoma,Yarra Ranges (S),-37.90696,145.34492
Torquay P-6 College,45-55 Grossmans Road Torquay VIC 3228,Torquay,Surf Coast (S),-38.32177,144.31231
Emerald Primary School,10 Heroes Avenue Emerald VIC 3782,Emerald,Cardinia (S),-37.93338,145.44243
Carrum Primary School,Walkers Road Carrum VIC 3197,Carrum,Kingston (C),-38.07812,145.1267
Nyora Primary School,Grundy Avenue Nyora VIC 3987,Nyora,South Gippsland (S),-38.336240000000004,145.67489
Exford Primary School,1137 Exford Road Exford VIC 3338,Exford,Melton (C),-37.745290000000004,144.55879
Ultima Primary School,Cnr Cameron & O'Connor Street Ultima VIC 3544,Ultima,Swan Hill (RC),-35.47623,143.26617
Mount Waverley Primary School,37-45 Park Lane Mount Waverley VIC 3149,Mount Waverley,Monash (C),-37.88127,145.12411
Marlo Primary School,Jorgensen Street Marlo VIC 3888,Marlo,East Gippsland (S),-37.79627,148.53503999999998
Murrumbeena Primary School,Hobart Road Murrumbeena VIC 3163,Murrumbeena,Glen Eira (C),-37.88617,145.07041
Wesburn Primary School,2850 Warburton Highway Wesburn VIC 3799,Wesburn,Yarra Ranges (S),-37.76869,145.64706999999999
Koorlong Primary School,3645 Benetook Ave Koorlong VIC 3501,Koorlong,Mildura (RC),-34.278059999999996,142.08485
Warranwood Primary School,1 Wellington Park Drive Warranwood VIC 3134,Warranwood,Maroondah (C),-37.77435,145.24698
Willowmavin Primary School,690 Willowmavin Road Willowmavin VIC 3764,Willowmavin,Mitchell (S),-37.25942,144.88823
Olinda Primary School,45 Charlemont Lane Olinda VIC 3788,Olinda,Yarra Ranges (S),-37.8547,145.36619
Carlisle River Primary School,49 Moomowroong Road Carlisle River VIC 3239,Carlisle River,Colac-Otway (S),-38.56393,143.39503
Spring Gully Primary School,104-110 Spring Gully Road Bendigo VIC 3550,Bendigo,Greater Bendigo (C),-36.79318,144.28446
Mallacoota P-12 College,25 Bucknall Street Mallacoota VIC 3892,Mallacoota,East Gippsland (S),-37.55943,149.7543
Langwarrin Primary School,90 Warrandyte Road Langwarrin VIC 3910,Langwarrin,Frankston (C),-38.16039,145.18985
Cockatoo Primary School,19-33 Belgrave-Gembrook Road Cockatoo VIC 3781,Cockatoo,Cardinia (S),-37.939370000000004,145.49638000000002
Tyabb Railway Station Primary School,88 The Crescent Tyabb VIC 3913,Tyabb,Mornington Peninsula (S),-38.26195,145.1925
Belgrave South Primary School,175 Colby Drive Belgrave South VIC 3160,Belgrave South,Yarra Ranges (S),-37.9312,145.35792
Sydenham - Hillside Primary School,39-49 Community Hub Sydenham VIC 3037,Sydenham,Brimbank (C),-37.70205,144.76233
Canterbury Primary School,Molesworth Street Canterbury VIC 3126,Canterbury,Boroondara (C),-37.83096,145.08314
The Lake Primary School,225 Seventeenth Street Cabarita VIC 3505,Cabarita,Mildura (RC),-34.20592,142.09313999999998
Grey Street Primary School (Traralgon),30 - 44 Grey Street Traralgon VIC 3844,Traralgon,Latrobe (C),-38.19305,146.53712
Brunswick North Primary School,Pearson Street Brunswick West VIC 3055,Brunswick West,Moreland (C),-37.759840000000004,144.95043
Fawkner Primary School,Lorne Street Fawkner VIC 3060,Fawkner,Moreland (C),-37.71524,144.97476
Alphington Primary School,Yarralea Street Alphington VIC 3078,Alphington,Yarra (C),-37.78352,145.03201
Bona Vista Primary School,520 Bona Vista Road Bona Vista VIC 3820,Bona Vista,Baw Baw (S),-38.21052,145.95991
Banyan Fields Primary School,90 Cadles Road Carrum Downs VIC 3201,Carrum Downs,Frankston (C),-38.0946,145.18791000000002
Norris Bank Primary School,146 Settlement Road Bundoora VIC 3083,Bundoora,Whittlesea (C),-37.69451,145.04263
Macclesfield Primary School,405 Macclesfield Road Macclesfield VIC 3782,Macclesfield,Yarra Ranges (S),-37.889790000000005,145.47537
Black Rock Primary School,71 Arkaringa Crescent Black Rock VIC 3193,Black Rock,Bayside (C),-37.96987,145.02165
Mount Evelyn Primary School,33 Monbulk Road Mount Evelyn VIC 3796,Mount Evelyn,Yarra Ranges (S),-37.790929999999996,145.38881999999998
Kilsyth Primary School,Durham Road Kilsyth VIC 3137,Kilsyth,Yarra Ranges (S),-37.80211,145.31493999999998
Wonthaggi Primary School,18 Billson Street Wonthaggi VIC 3995,Wonthaggi,Bass Coast (S),-38.60795,145.58864
Spotswood Primary School,Melbourne Road Spotswood VIC 3015,Spotswood,Hobsons Bay (C),-37.83045,144.88173999999998
Clyde Primary School,13 Oroya Grove Clyde VIC 3978,Clyde,Casey (C),-38.13232,145.32639
Noble Park Primary School,65 Buckley Street Noble Park VIC 3174,Noble Park,Greater Dandenong (C),-37.97063,145.17391
Deepdene Primary School,958a Burke Road Deepdene VIC 3103,Deepdene,Boroondara (C),-37.808370000000004,145.06136
Clifton Creek Primary School,1020 Deptford Road Clifton Creek VIC 3875,Clifton Creek,East Gippsland (S),-37.70208,147.65939
Kennington Primary School,60 Crook Street Kennington VIC 3550,Kennington,Greater Bendigo (C),-36.7688,144.3075
Cardinia Primary School,2405 Ballarto Road Cardinia VIC 3978,Cardinia,Cardinia (S),-38.14578,145.42333
Grahamvale Primary School,85 Grahamvale Road Grahamvale VIC 3631,Grahamvale,Greater Shepparton (C),-36.3572,145.43072
Irymple South Primary School,3208 Fifteenth Street Irymple VIC 3498,Irymple,Mildura (RC),-34.25249,142.19062
Glen Huntly Primary School,Grange Road Glen Huntly VIC 3163,Glen Huntly,Glen Eira (C),-37.89377,145.04623
Nanneella Estate Primary School,159 Bennett Road Nanneella VIC 3561,Nanneella,Campaspe (S),-36.31297,144.77804
Wantirna Primary School,120 Mountain Highway Wantirna VIC 3152,Wantirna,Knox (C),-37.85626,145.21651
Wonthaggi North Primary School,Cnr White & Wentworth Road Wonthaggi VIC 3995,Wonthaggi,Bass Coast (S),-38.59882,145.60023
Melton South Primary School,38 - 46 Exford Road Melton South VIC 3338,Melton South,Melton (C),-37.70872,144.57426
Chelsea Primary School,34-44 Argyle Ave Chelsea VIC 3196,Chelsea,Kingston (C),-38.05489,145.12231
Nowa Nowa Primary School,Gorge Road Nowa Nowa VIC 3887,Nowa Nowa,East Gippsland (S),-37.726620000000004,148.09255
Hampton Primary School,528 Hampton Street Hampton VIC 3188,Hampton,Bayside (C),-37.93339,145.00348
Victorian College For The Deaf,597 St Kilda Road Melbourne VIC 3004,Melbourne,Melbourne (C),-37.84977,144.98231
Balliang East Primary School,4 School Road Balliang East VIC 3340,Balliang East,Moorabool (S),-37.794979999999995,144.41535
Edithvale Primary School,42-54 Edithvale Road Edithvale VIC 3196,Edithvale,Kingston (C),-38.037490000000005,145.11297
Orrvale Primary School,300 Channel Road Orrvale VIC 3631,Orrvale,Greater Shepparton (C),-36.41041,145.44054
Penders Grove Primary School,370 Victoria Road Thornbury VIC 3071,Thornbury,Darebin (C),-37.75452,145.01426999999998
Underbool Primary School,67 Cotter Street Underbool VIC 3509,Underbool,Mildura (RC),-35.17057,141.81405
Caulfield Junior College,186 Balaclava Road Caulfield North VIC 3161,Caulfield North,Glen Eira (C),-37.87211,145.02156000000002
Seaford Primary School,Mcrae Street Seaford VIC 3198,Seaford,Frankston (C),-38.104440000000004,145.1305
Wattle Park Primary School,225 Warrigal Road Burwood VIC 3125,Burwood,Whitehorse (C),-37.84264,145.09736999999998
Murrabit Group School,61 Browning Avenue Murrabit VIC 3579,Murrabit,Gannawarra (S),-35.52884,143.95075
Preston West Primary School,383 Murray Road Preston VIC 3072,Preston,Darebin (C),-37.73737,144.99553
Thornbury Primary School,16-22 Hutton Street Thornbury VIC 3071,Thornbury,Darebin (C),-37.75543,144.99675
Footscray West Primary School,Argyle Street West Footscray VIC 3012,West Footscray,Maribyrnong (C),-37.79487,144.87527
Wandin North Primary School,220 Warburton Highway Wandin North VIC 3139,Wandin North,Yarra Ranges (S),-37.76978,145.40971000000002
Gardenvale Primary School,66 Landcox Street Brighton East VIC 3187,Brighton East,Bayside (C),-37.90468,145.01503
Beaumaris Primary School,79-99 Dalgetty Road Beaumaris VIC 3193,Beaumaris,Bayside (C),-37.98527,145.03759
Currawa Primary School,2 Ridge Road Dookie Campus VIC 3647,Dookie Campus,Greater Shepparton (C),-36.38475,145.70379
Cann River P-12 College,20-24 Tamboon Road Cann River VIC 3890,Cann River,East Gippsland (S),-37.5697,149.15302
Altona Primary School,109 Blyth Street Altona VIC 3018,Altona,Hobsons Bay (C),-37.867709999999995,144.82273999999998
Devon Meadows Primary School,Worthing Road Devon Meadows VIC 3977,Devon Meadows,Casey (C),-38.16203,145.30138
Upper Ferntree Gully Primary School,Talaskia Road Upper Ferntree Gully VIC 3156,Upper Ferntree Gully,Knox (C),-37.8956,145.31432
Eildon Primary School,45 High Street Eildon VIC 3713,Eildon,Murrindindi (S),-37.23397,145.90676000000002
Bittern Primary School,Portsmouth Road Bittern VIC 3918,Bittern,Mornington Peninsula (S),-38.339859999999994,145.17168
Colbinabbin Primary School,56 Mitchell Street Colbinabbin VIC 3559,Colbinabbin,Campaspe (S),-36.58988,144.80166
Stanhope Primary School,48 Midland Highway Stanhope VIC 3623,Stanhope,Campaspe (S),-36.4481,144.98802
Hurstbridge Primary School,961-989 Heidelberg-Kinglake Rd Hurstbridge VIC 3099,Hurstbridge,Nillumbik (S),-37.6359,145.19812
Coburg West Primary School,185-187 Reynard Street Coburg VIC 3058,Coburg,Moreland (C),-37.74715,144.94762
Elwood Primary School,Scott Street Elwood VIC 3184,Elwood,Port Phillip (C),-37.8815,144.98836
Mont Albert Primary School,Barloa Road Mont Albert VIC 3127,Mont Albert,Whitehorse (C),-37.81308,145.10273
Dhurringile Primary School,605 Langham Road Dhurringile VIC 3610,Dhurringile,Greater Shepparton (C),-36.5432,145.23979
Strathewen Primary School,5 School Ridge Road Strathewen VIC 3099,Strathewen,Nillumbik (S),-37.547579999999996,145.27008999999998
Don Valley Primary School,Old Dalry Road Don Valley VIC 3139,Don Valley,Yarra Ranges (S),-37.7602,145.58741
Reservoir Primary School,Duffy Street Reservoir VIC 3073,Reservoir,Darebin (C),-37.711420000000004,145.00677
Yallourn North Primary School,2A Reserve Street Yallourn North VIC 3825,Yallourn North,Latrobe (C),-38.16321,146.36222
Toorloo Arm Primary School,315 Lake Tyers Beach Road Lake Tyers Beach VIC 3909,Lake Tyers Beach,East Gippsland (S),-37.852540000000005,148.05097
Girgarre Primary School,528 Winter Road Girgarre VIC 3624,Girgarre,Campaspe (S),-36.398109999999996,144.97376
Yaapeet Primary School,4 Woods Street Yaapeet VIC 3424,Yaapeet,Yarriambiack (S),-35.7685,142.05715
Gladysdale Primary School,550 Little Yarra Road Gladysdale VIC 3797,Gladysdale,Yarra Ranges (S),-37.82025,145.65098999999998
Mildura West Primary School,219-227  Ninth Street Mildura VIC 3500,Mildura,Mildura (RC),-34.17962,142.15186
Moonee Ponds Primary School,87 Wilson Street Moonee Ponds VIC 3039,Moonee Ponds,Moonee Valley (C),-37.76334,144.93299
Kingsville Primary School,58 Bishop Street Yarraville VIC 3013,Yarraville,Maribyrnong (C),-37.8126,144.87466
Kallista Primary School,72 Monbulk Road Kallista VIC 3791,Kallista,Yarra Ranges (S),-37.885090000000005,145.37
Essendon North Primary School,112 Keilor Road Essendon North VIC 3041,Essendon North,Moonee Valley (C),-37.74152,144.90319
Ascot Vale West Primary School,Langs Rd Ascot Vale VIC 3032,Ascot Vale,Moonee Valley (C),-37.78068,144.91111999999998
Hartwell Primary School,Milverton St Camberwell VIC 3124,Camberwell,Boroondara (C),-37.84805,145.08446999999998
Red Cliffs Primary School,Murray Avenue Red Cliffs VIC 3496,Red Cliffs,Mildura (RC),-34.31157,142.18531000000002
Wattle Glen Primary School,16-24 Reynolds Road Wattle Glen VIC 3096,Wattle Glen,Nillumbik (S),-37.66884,145.18204
Hampton Park Primary School,32 Somerville Road Hampton Park VIC 3976,Hampton Park,Casey (C),-38.030409999999996,145.25288999999998
Colac West Primary School,12 Ligar Street Colac VIC 3250,Colac,Colac-Otway (S),-38.336420000000004,143.57975
Ripponlea Primary School,25 Carrington Grove St Kilda East VIC 3183,St Kilda East,Glen Eira (C),-37.87461,145.00505
Noojee Primary School,65 School Road Noojee VIC 3833,Noojee,Baw Baw (S),-37.895140000000005,146.00786000000002
Montmorency Primary School,60a Rattray Road Montmorency VIC 3094,Montmorency,Banyule (C),-37.71765,145.1216
Moriac Primary School,785 Hendy Main Road Moriac VIC 3240,Moriac,Surf Coast (S),-38.24139,144.17557
Ringwood North Primary School,172 Oban Road Ringwood North VIC 3134,Ringwood North,Maroondah (C),-37.79313,145.23074
Red Cliffs East Primary School,Block 67a Nerrum Avenue Red Cliffs VIC 3496,Red Cliffs,Mildura (RC),-34.30511,142.21427
Lloyd Street Primary School,Lloyd Street Malvern East VIC 3145,Malvern East,Stonnington (C),-37.87242,145.05611000000002
Bayswater North Primary School,Stuart Street Bayswater North VIC 3153,Bayswater North,Maroondah (C),-37.8288,145.29561999999999
Westbreen Primary School,2-10 Pascoe Street Pascoe Vale VIC 3044,Pascoe Vale,Moreland (C),-37.71629,144.93548
Point Cook Prep - Year 9 College,18 - 50 Ponsford Drive Point Cook VIC 3030,Point Cook,Wyndham (C),-37.89359,144.72569
Footscray North Primary School,14 Rosamond Road Footscray VIC 3011,Footscray,Maribyrnong (C),-37.78775,144.88336999999999
Airly Primary School,226 Airly Estate Road Airly VIC 3851,Airly,Wellington (S),-38.02571,147.1139
Camberwell South Primary School,Peate Avenue Glen Iris VIC 3146,Glen Iris,Boroondara (C),-37.8479,145.06261
Parkdale Primary School,305-311 Nepean Highway Parkdale VIC 3195,Parkdale,Kingston (C),-37.99279,145.0831
Hughesdale Primary School,Brine Street Hughesdale VIC 3166,Hughesdale,Monash (C),-37.905840000000005,145.07764
Westgarth Primary School,45 Brooke St & 311 Clarke St Northcote VIC 3070,Northcote,Darebin (C),-37.77647,145.00556
Auburn South Primary School,419 Tooronga Road Hawthorn East VIC 3123,Hawthorn East,Boroondara (C),-37.839259999999996,145.04588999999999
